team_id,Team,G_x,PA,HR,R,RBI,SB,BB_pct,K_pct,ISO,BABIP_x,AVG,OBP,SLG,wOBA,xwOBA,wRC_plus,BsR,Off,Def,WAR_x,Season,W,L,SV,G_y,GS,IP,K_per_9,BB_per_9,HR_per_9,BABIP_y,LOB_pct,GB_pct,HR_per_FB,vFA,ERA,xERA,FIP,xFIP,WAR_y
1,BRO,1354,5440,26,816,676,274,7.7,NA,0.09,NA,0.293,0.359,0.38299999999999995,0.35700000000000004,NA,104,10,41.6,14.1,24.1,1900,93.06382978723406,54,4,181,141,1225.2,2.2,2.97,0.22,0.298,62.3,NA,NA,NA,3.89,NA,3.65,NA,10.7
2,STL,1352,5444,36,744,602,243,7.5,NA,0.084,NA,0.29100000000000004,0.35600000000000004,0.375,0.35200000000000004,NA,102,2.9,17.4,0.9,20.5,1900,74.68085106382979,74,0,167,141,1217.1,2.4,2.21,0.27,0.301,58.1,NA,NA,NA,3.76,NA,3.43,NA,14.5
3,PHI,1337,5594,29,810,694,205,7.9,NA,0.08800000000000001,NA,0.29,0.35600000000000004,0.37799999999999995,0.353,NA,104,-4.8,23.7,-17.4,19.8,1900,86.17021276595744,63,3,169,141,1248.2,2.05,2.9,0.21,0.313,61.2,NA,NA,NA,4.13,NA,3.64,NA,10.3
4,BSN,1382,5499,48,778,676,182,7.2,NA,0.08900000000000001,NA,0.28300000000000003,0.342,0.373,0.34299999999999997,NA,92,-6.9,-66.5,61.5,19.2,1900,75.29577464788733,72,2,171,142,1240.1,2.47,3.36,0.43,0.276,61.3,NA,NA,NA,3.72,NA,4.02,NA,9.8
5,PIT,1349,5317,26,733,602,174,6.2,NA,0.096,NA,0.272,0.327,0.368,0.332,NA,92,-3.7,-64.9,49.2,17.5,1900,91.41428571428571,60,1,170,140,1229,3.04,2.16,0.18,0.284,62.9,NA,NA,NA,3.06,NA,3.13,NA,16.4
6,NYG,1352,5229,23,713,564,236,7.1,NA,0.078,NA,0.27899999999999997,0.33799999999999997,0.35700000000000004,0.335,NA,95,6.2,-29.6,-25.5,12.9,1900,68.93617021276596,78,0,172,141,1207.1,2.06,3.29,0.19,0.309,59.1,NA,NA,NA,3.96,NA,3.75,NA,6.6
7,CIN,1376,5517,33,703,591,183,6,NA,0.08800000000000001,NA,0.266,0.318,0.354,0.322,NA,84,-2.8,-129.1,27.2,10.2,1900,69.75,77,1,171,144,1274.2,2.82,2.85,0.2,0.298,61,NA,NA,NA,3.83,NA,3.44,NA,14.8
8,CHI,1370,5445,33,635,519,189,6.3,NA,0.08199999999999999,NA,0.26,0.317,0.342,0.318,NA,85,-0.9,-117.5,6.8,8.9,1900,72.12328767123287,75,1,155,146,1271,2.53,2.29,0.15,0.29600000000000004,58.8,NA,NA,NA,3.23,NA,3.25,NA,14.6
9,PIT,1313,5468,29,777,636,203,7.1,NA,0.092,NA,0.28600000000000003,0.345,0.379,0.344,NA,109,1.7,64.2,57.2,30.7,1901,104.14285714285715,49,4,161,140,1244.2,3.65,1.76,0.14,0.282,65.7,NA,NA,NA,2.58,NA,2.91,NA,15.8
10,STL,1355,5565,39,792,657,190,5.6,NA,0.098,NA,0.284,0.337,0.381,0.34,NA,107,-0.2,53.4,50.2,29.3,1901,86.70422535211267,64,5,171,142,1269.2,3.15,2.35,0.28,0.292,62,NA,NA,NA,3.68,NA,3.41,NA,8.6
